                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.423,                0.83008,                 1.0764,                0.72769,                0.51409,                 0.6056,                0.29513,                 1.9253,                 1.2286,                 1.5169,               0.006634,               0.006634,               0.006634
                     36,                 1.4194,                0.82389,                 1.0718,                0.72876,                 0.5069,                0.59918,                0.29443,                 1.9234,                 1.2276,                 1.5137,               0.006535,               0.006535,               0.006535
                     37,                 1.4186,                 0.8247,                 1.0729,                0.72892,                0.50688,                 0.5984,                0.29224,                 1.9309,                 1.2322,                 1.5147,               0.006436,               0.006436,               0.006436
                     38,                 1.4149,                0.82442,                 1.0739,                0.72715,                0.50638,                0.59954,                0.29369,                 1.9314,                 1.2369,                 1.5157,               0.006337,               0.006337,               0.006337
                     39,                 1.4139,                0.82027,                 1.0703,                0.73393,                 0.5088,                0.60564,                0.29485,                 1.9348,                   1.23,                 1.5203,               0.006238,               0.006238,               0.006238
                     40,                 1.4118,                0.81985,                 1.0702,                0.73167,                0.51032,                0.60485,                0.29279,                 1.9383,                 1.2328,                 1.5241,               0.006139,               0.006139,               0.006139
                     41,                 1.4114,                0.81976,                 1.0689,                0.73582,                0.51186,                 0.6064,                0.29305,                 1.9371,                  1.229,                 1.5205,                0.00604,                0.00604,                0.00604
                     42,                 1.4108,                0.81844,                 1.0679,                0.73683,                0.51344,                0.60899,                0.29504,                 1.9375,                  1.222,                 1.5207,               0.005941,               0.005941,               0.005941
                     43,                 1.4087,                0.81522,                 1.0662,                0.73738,                0.51216,                0.60843,                 0.2948,                 1.9406,                 1.2199,                 1.5213,               0.005842,               0.005842,               0.005842
                     44,                 1.4111,                0.81872,                  1.068,                0.73796,                0.51153,                0.60868,                 0.2953,                 1.9394,                 1.2188,                 1.5215,               0.005743,               0.005743,               0.005743
                     45,                 1.4069,                0.81711,                 1.0654,                0.73632,                0.50951,                 0.6069,                0.29369,                 1.9433,                 1.2204,                 1.5239,               0.005644,               0.005644,               0.005644
                     46,                 1.4064,                0.81618,                 1.0667,                 0.7355,                0.50829,                0.60633,                0.29279,                 1.9458,                 1.2208,                 1.5247,               0.005545,               0.005545,               0.005545
                     47,                 1.3998,                0.81036,                 1.0651,                0.73658,                0.50707,                0.60624,                0.29263,                 1.9469,                  1.222,                 1.5258,               0.005446,               0.005446,               0.005446
                     48,                 1.3992,                0.81036,                 1.0627,                 0.7388,                 0.5048,                0.60539,                0.29225,                 1.9486,                 1.2237,                 1.5272,               0.005347,               0.005347,               0.005347
                     49,                 1.3999,                0.81221,                 1.0615,                 0.7397,                0.50463,                0.60499,                0.29203,                 1.9514,                 1.2254,                  1.529,               0.005248,               0.005248,               0.005248
                     50,                 1.3982,                0.80892,                 1.0613,                0.73794,                0.50516,                0.60458,                0.29192,                 1.9508,                 1.2266,                 1.5295,               0.005149,               0.005149,               0.005149
                     51,                 1.3977,                0.80737,                 1.0612,                0.74128,                0.50585,                 0.6061,                0.29272,                 1.9515,                 1.2252,                 1.5304,                0.00505,                0.00505,                0.00505
                     52,                 1.3905,                0.80577,                 1.0594,                0.74014,                0.50479,                0.60452,                0.29174,                 1.9528,                  1.229,                 1.5319,               0.004951,               0.004951,               0.004951
                     53,                 1.3894,                0.80315,                 1.0569,                0.73862,                0.50352,                0.60246,                 0.2905,                 1.9546,                 1.2322,                 1.5326,               0.004852,               0.004852,               0.004852
                     54,                 1.3892,                0.80109,                 1.0585,                0.74044,                0.50213,                0.60194,                0.29012,                 1.9548,                 1.2324,                 1.5328,               0.004753,               0.004753,               0.004753
                     55,                 1.3889,                0.80046,                 1.0568,                0.74035,                0.50197,                0.60145,                0.29006,                 1.9544,                 1.2315,                 1.5326,               0.004654,               0.004654,               0.004654
                     56,                 1.3885,                0.80019,                 1.0544,                0.74061,                0.50109,                0.60052,                0.28948,                 1.9551,                 1.2329,                 1.5326,               0.004555,               0.004555,               0.004555
                     57,                  1.385,                0.79893,                  1.054,                0.73804,                0.50193,                0.60053,                0.28929,                 1.9554,                 1.2332,                 1.5324,               0.004456,               0.004456,               0.004456
                     58,                 1.3854,                0.79902,                 1.0542,                0.73806,                0.50252,                0.60114,                0.28957,                 1.9556,                 1.2316,                  1.532,               0.004357,               0.004357,               0.004357
                     59,                 1.3827,                0.79694,                 1.0533,                0.73816,                0.50265,                0.60108,                0.28949,                  1.956,                 1.2325,                 1.5321,               0.004258,               0.004258,               0.004258
                     60,                 1.3811,                0.79682,                 1.0538,                0.73749,                 0.5021,                0.60059,                 0.2891,                 1.9565,                 1.2338,                 1.5321,               0.004159,               0.004159,               0.004159
                     61,                 1.3794,                0.79397,                 1.0516,                0.73809,                0.50147,                0.60029,                  0.289,                 1.9565,                 1.2344,                 1.5317,                0.00406,                0.00406,                0.00406
                     62,                 1.3789,                0.79265,                 1.0505,                0.73673,                0.50182,                0.60031,                0.28907,                 1.9567,                 1.2352,                 1.5316,               0.003961,               0.003961,               0.003961
                     63,                 1.3761,                0.79186,                 1.0492,                0.73664,                0.50022,                0.59901,                0.28865,                 1.9571,                 1.2371,                 1.5315,               0.003862,               0.003862,               0.003862
                     64,                 1.3757,                0.78833,                 1.0467,                0.73502,                0.50049,                0.59883,                0.28859,                 1.9568,                 1.2372,                 1.5312,               0.003763,               0.003763,               0.003763
                     65,                 1.3717,                0.78814,                 1.0467,                0.73493,                0.50016,                0.59846,                0.28835,                 1.9572,                 1.2376,                 1.5309,               0.003664,               0.003664,               0.003664
                     66,                 1.3706,                0.78657,                 1.0458,                0.73631,                0.49921,                0.59788,                0.28818,                 1.9572,                  1.238,                 1.5305,               0.003565,               0.003565,               0.003565
                     67,                 1.3689,                 0.7859,                 1.0465,                0.73506,                0.49886,                0.59714,                0.28775,                 1.9574,                 1.2392,                 1.5305,               0.003466,               0.003466,               0.003466
                     68,                  1.366,                0.78117,                  1.044,                0.73418,                 0.4983,                0.59667,                 0.2877,                 1.9581,                 1.2406,                 1.5308,               0.003367,               0.003367,               0.003367
                     69,                 1.3648,                0.78056,                 1.0441,                0.73398,                0.49836,                0.59629,                0.28748,                  1.959,                  1.242,                 1.5312,               0.003268,               0.003268,               0.003268
                     70,                 1.3632,                0.78042,                 1.0427,                0.73379,                0.49731,                0.59528,                 0.2874,                 1.9593,                 1.2441,                 1.5313,               0.003169,               0.003169,               0.003169
                     71,                 1.3625,                0.78055,                 1.0427,                0.73416,                0.49521,                0.59427,                0.28714,                 1.9595,                 1.2463,                 1.5312,                0.00307,                0.00307,                0.00307
                     72,                 1.3582,                 0.7751,                 1.0422,                0.73408,                0.49447,                0.59349,                0.28681,                   1.96,                 1.2483,                 1.5314,               0.002971,               0.002971,               0.002971
