                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0182,                0.69865,                  0.955,                0.58485,                0.46806,                  0.599,                0.34803,                  1.901,                    inf,                 1.4892,               0.006535,               0.006535,               0.006535
                     37,                 1.0205,                0.69524,                0.95307,                 0.6269,                0.46431,                0.60889,                0.35258,                 1.9216,                    inf,                 1.4976,               0.006436,               0.006436,               0.006436
                     38,                 1.0097,                0.69476,                0.95188,                0.49329,                0.47232,                0.57063,                0.32807,                 1.9098,                    inf,                  1.489,               0.006337,               0.006337,               0.006337
                     39,                 1.0173,                0.69443,                0.95214,                0.56091,                0.46671,                0.59017,                0.33995,                 1.9183,                    inf,                 1.4891,               0.006238,               0.006238,               0.006238
                     40,                 1.0157,                0.69226,                0.95359,                 0.6425,                0.45401,                0.60834,                0.35758,                 1.9101,                    inf,                 1.4944,               0.006139,               0.006139,               0.006139
                     41,                 1.0082,                 0.6878,                0.95029,                0.52298,                0.47596,                0.58358,                0.33422,                 1.9157,                    inf,                 1.4937,                0.00604,                0.00604,                0.00604
                     42,                 1.0108,                0.68988,                0.95081,                0.65111,                0.45026,                0.61091,                 0.3567,                 1.9144,                    inf,                 1.4879,               0.005941,               0.005941,               0.005941
                     43,                 1.0105,                0.68959,                0.95106,                0.57067,                0.45688,                0.58593,                0.33794,                 1.9224,                    inf,                 1.4778,               0.005842,               0.005842,               0.005842
                     44,                 1.0058,                 0.6853,                0.94904,                0.58503,                0.45056,                0.58799,                0.34015,                 1.9201,                    inf,                 1.4883,               0.005743,               0.005743,               0.005743
                     45,                 1.0047,                0.68708,                0.94911,                0.76811,                 0.4054,                0.53907,                0.30982,                 1.9042,                    inf,                 1.4969,               0.005644,               0.005644,               0.005644
                     46,                 1.0034,                0.68421,                0.94969,                0.56506,                0.45675,                0.58688,                0.34121,                 1.8999,                    inf,                 1.4754,               0.005545,               0.005545,               0.005545
                     47,                0.99802,                0.67976,                0.94814,                0.60748,                  0.454,                0.59819,                0.34784,                 1.9152,                    inf,                 1.4968,               0.005446,               0.005446,               0.005446
                     48,                0.99771,                0.68064,                0.94825,                0.62006,                0.45796,                 0.6047,                0.35023,                 1.9193,                    inf,                 1.4898,               0.005347,               0.005347,               0.005347
                     49,                  1.005,                0.67973,                0.94966,                0.61869,                  0.448,                0.59647,                0.34519,                 1.9276,                    inf,                 1.4942,               0.005248,               0.005248,               0.005248
                     50,                0.99931,                 0.6776,                0.94791,                0.62287,                0.45463,                0.60283,                0.34943,                 1.9181,                    inf,                 1.4943,               0.005149,               0.005149,               0.005149
                     51,                0.99571,                0.67754,                0.94752,                0.62791,                0.45186,                 0.6034,                0.35213,                 1.9035,                    inf,                 1.4864,                0.00505,                0.00505,                0.00505
