                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3903,                0.79823,                 1.0507,                0.75075,                0.51391,                0.61009,                0.29263,                 1.9416,                 1.2521,                 1.4985,               0.007756,               0.007756,               0.007756
                     36,                 1.3892,                0.79822,                 1.0503,                0.74545,                0.51482,                0.60908,                 0.2915,                 1.9453,                 1.2574,                 1.5005,                0.00769,                0.00769,                0.00769
                     37,                 1.3859,                0.79569,                 1.0494,                0.74462,                0.51283,                0.60779,                0.29003,                 1.9486,                 1.2602,                  1.501,               0.007624,               0.007624,               0.007624
                     38,                 1.3846,                 0.7945,                 1.0485,                0.74269,                0.51121,                0.60508,                0.28746,                  1.956,                 1.2673,                 1.5046,               0.007558,               0.007558,               0.007558
                     39,                 1.3815,                0.79182,                 1.0467,                0.74284,                0.50761,                0.60275,                0.28593,                 1.9605,                 1.2728,                 1.5062,               0.007492,               0.007492,               0.007492
                     40,                 1.3802,                0.79133,                 1.0465,                0.74262,                0.50641,                0.60104,                0.28461,                 1.9653,                 1.2787,                 1.5088,               0.007426,               0.007426,               0.007426
                     41,                   1.38,                0.79125,                 1.0458,                0.74439,                0.50589,                0.60042,                0.28389,                 1.9684,                 1.2838,                  1.511,                0.00736,                0.00736,                0.00736
                     42,                 1.3785,                0.78931,                 1.0441,                0.74674,                0.50531,                 0.6009,                0.28448,                 1.9687,                 1.2879,                 1.5107,               0.007294,               0.007294,               0.007294
                     43,                 1.3774,                0.78902,                 1.0448,                0.74353,                0.50486,                0.59862,                0.28344,                 1.9696,                 1.2961,                 1.5115,               0.007228,               0.007228,               0.007228
                     44,                 1.3755,                0.78661,                 1.0428,                0.74096,                0.50517,                0.59806,                0.28225,                 1.9715,                 1.3004,                 1.5141,               0.007162,               0.007162,               0.007162
                     45,                 1.3731,                0.78415,                 1.0405,                0.74214,                0.50447,                0.59751,                0.28165,                 1.9746,                 1.3062,                 1.5173,               0.007096,               0.007096,               0.007096
                     46,                 1.3707,                0.78378,                 1.0398,                0.74139,                0.50429,                  0.596,                0.28124,                 1.9751,                 1.3134,                 1.5179,                0.00703,                0.00703,                0.00703
                     47,                 1.3681,                0.78084,                 1.0391,                0.73999,                0.50373,                0.59463,                0.28019,                 1.9748,                 1.3204,                 1.5181,               0.006964,               0.006964,               0.006964
