                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0927,                0.74498,                0.99437,                0.68198,                 0.4765,                0.63086,                0.37028,                 1.8904,                 2.3371,                 1.5299,               0.006634,               0.006634,               0.006634
                     36,                 1.0883,                0.74233,                0.99213,                0.69225,                0.47907,                0.63697,                 0.3746,                 1.8852,                 2.2822,                 1.5302,               0.006535,               0.006535,               0.006535
                     37,                  1.086,                0.74035,                0.99212,                0.64033,                0.47931,                0.61998,                0.36349,                 1.8823,                 2.2825,                 1.5261,               0.006436,               0.006436,               0.006436
                     38,                 1.0832,                0.73867,                0.99131,                0.65966,                 0.4804,                0.62805,                0.36967,                 1.8891,                    2.3,                 1.5257,               0.006337,               0.006337,               0.006337
                     39,                 1.0805,                0.73423,                0.98977,                0.63537,                0.47925,                0.61956,                0.36334,                 1.8848,                 2.3151,                  1.525,               0.006238,               0.006238,               0.006238
                     40,                 1.0841,                0.73644,                0.99186,                0.66868,                0.47593,                0.62724,                0.36844,                 1.8865,                 2.3179,                  1.531,               0.006139,               0.006139,               0.006139
                     41,                 1.0803,                0.73348,                0.98923,                0.67306,                0.48076,                0.63077,                0.37005,                 1.8824,                 2.2933,                 1.5291,                0.00604,                0.00604,                0.00604
                     42,                 1.0822,                0.73379,                 0.9896,                0.67917,                0.47588,                 0.6296,                   0.37,                 1.8846,                 2.3133,                 1.5279,               0.005941,               0.005941,               0.005941
                     43,                 1.0799,                0.73324,                0.98855,                0.70001,                0.47613,                 0.6371,                0.37514,                 1.8904,                 2.3224,                 1.5363,               0.005842,               0.005842,               0.005842
                     44,                 1.0794,                0.73196,                 0.9886,                0.70106,                0.48192,                 0.6398,                0.37684,                 1.8871,                 2.2933,                 1.5336,               0.005743,               0.005743,               0.005743
                     45,                  1.074,                0.72941,                0.98792,                  0.735,                0.47872,                0.64916,                0.38298,                 1.8874,                 2.3173,                 1.5342,               0.005644,               0.005644,               0.005644
                     46,                 1.0729,                0.72821,                0.98675,                0.72722,                0.47256,                0.64448,                0.38099,                 1.8872,                 2.3407,                 1.5357,               0.005545,               0.005545,               0.005545
                     47,                 1.0763,                0.73051,                0.98764,                0.72473,                0.46816,                0.64094,                0.37949,                 1.8804,                  2.346,                  1.529,               0.005446,               0.005446,               0.005446
                     48,                  1.073,                0.72558,                0.98614,                0.71119,                 0.4691,                 0.6367,                  0.375,                  1.885,                 2.3438,                 1.5286,               0.005347,               0.005347,               0.005347
                     49,                 1.0643,                0.71849,                0.98185,                0.70788,                0.46698,                0.63424,                0.37388,                 1.8871,                 2.3496,                 1.5325,               0.005248,               0.005248,               0.005248
                     50,                 1.0657,                0.72195,                0.98276,                0.71821,                0.46382,                0.63594,                0.37497,                 1.8915,                 2.3778,                 1.5341,               0.005149,               0.005149,               0.005149
                     51,                 1.0683,                 0.7225,                0.98457,                 0.7243,                0.46617,                0.63856,                0.37712,                 1.8916,                 2.3672,                 1.5333,                0.00505,                0.00505,                0.00505
                     52,                 1.0621,                0.71789,                0.98156,                   0.73,                0.46478,                 0.6399,                0.37815,                 1.8896,                 2.3754,                 1.5329,               0.004951,               0.004951,               0.004951
                     53,                 1.0663,                 0.7208,                0.98388,                0.73012,                0.46349,                0.63924,                0.37769,                 1.8933,                 2.3827,                 1.5342,               0.004852,               0.004852,               0.004852
                     54,                 1.0617,                0.71845,                0.98179,                0.73401,                 0.4643,                0.64089,                0.37852,                 1.8957,                 2.3764,                 1.5376,               0.004753,               0.004753,               0.004753
                     55,                 1.0618,                0.71578,                0.98255,                0.73967,                0.46541,                0.64314,                0.37972,                 1.8954,                 2.3716,                 1.5391,               0.004654,               0.004654,               0.004654
                     56,                 1.0572,                0.71535,                0.97971,                  0.745,                0.46392,                0.64396,                0.38041,                 1.8942,                 2.3773,                 1.5372,               0.004555,               0.004555,               0.004555
                     57,                 1.0573,                0.71218,                0.97915,                0.74175,                0.46463,                0.64317,                0.38007,                 1.8912,                 2.3711,                 1.5359,               0.004456,               0.004456,               0.004456
                     58,                 1.0504,                0.70808,                0.97854,                0.74412,                0.46337,                0.64331,                0.38052,                 1.8898,                 2.3716,                 1.5347,               0.004357,               0.004357,               0.004357
                     59,                 1.0502,                0.70724,                 0.9774,                0.74585,                0.46236,                 0.6434,                0.38053,                 1.8887,                 2.3722,                 1.5341,               0.004258,               0.004258,               0.004258
                     60,                 1.0516,                0.70976,                0.97935,                0.74219,                0.46227,                 0.6422,                0.37975,                 1.8879,                 2.3701,                 1.5322,               0.004159,               0.004159,               0.004159
                     61,                 1.0555,                 0.7095,                0.97956,                 0.7442,                0.46114,                0.64245,                 0.3802,                 1.8879,                 2.3801,                 1.5315,                0.00406,                0.00406,                0.00406
                     62,                   1.05,                0.70916,                0.97866,                0.74563,                0.45995,                0.64224,                0.38026,                 1.8868,                 2.3868,                  1.531,               0.003961,               0.003961,               0.003961
                     63,                 1.0505,                0.70587,                0.97743,                0.74882,                0.45938,                0.64288,                0.38066,                 1.8872,                 2.3916,                 1.5317,               0.003862,               0.003862,               0.003862
                     64,                 1.0538,                0.70523,                0.97805,                0.74887,                 0.4591,                0.64253,                0.38048,                 1.8885,                 2.3955,                 1.5327,               0.003763,               0.003763,               0.003763
                     65,                 1.0485,                0.70443,                0.97692,                 0.7509,                0.45834,                0.64275,                0.38076,                 1.8889,                 2.4002,                 1.5335,               0.003664,               0.003664,               0.003664
                     66,                 1.0434,                 0.6977,                0.97482,                0.75222,                0.45779,                0.64289,                0.38094,                 1.8886,                 2.4005,                  1.534,               0.003565,               0.003565,               0.003565
                     67,                 1.0432,                0.70033,                0.97646,                0.75197,                 0.4569,                0.64237,                0.38073,                 1.8887,                 2.4006,                 1.5344,               0.003466,               0.003466,               0.003466
                     68,                 1.0426,                0.69636,                0.97457,                0.75325,                0.45636,                0.64253,                0.38093,                 1.8888,                 2.4019,                 1.5351,               0.003367,               0.003367,               0.003367
                     69,                 1.0382,                0.69779,                0.97409,                0.75577,                0.45537,                0.64271,                0.38134,                 1.8881,                 2.4055,                 1.5348,               0.003268,               0.003268,               0.003268
                     70,                 1.0401,                0.69637,                0.97417,                0.75536,                0.45535,                0.64261,                0.38121,                 1.8878,                 2.4052,                 1.5347,               0.003169,               0.003169,               0.003169
                     71,                 1.0381,                0.69667,                0.97433,                0.75422,                0.45556,                0.64239,                 0.3809,                 1.8881,                 2.4059,                 1.5347,                0.00307,                0.00307,                0.00307
                     72,                 1.0289,                 0.6896,                 0.9707,                 0.7516,                0.45569,                0.64154,                0.38032,                 1.8885,                 2.4061,                 1.5345,               0.002971,               0.002971,               0.002971
                     73,                 1.0373,                0.69386,                 0.9728,                0.75076,                0.45527,                0.64105,                   0.38,                 1.8886,                 2.4081,                 1.5345,               0.002872,               0.002872,               0.002872
                     74,                 1.0239,                0.68659,                0.97001,                0.75003,                 0.4548,                0.64052,                0.37966,                 1.8886,                 2.4107,                 1.5344,               0.002773,               0.002773,               0.002773
                     75,                 1.0315,                0.68841,                0.97073,                0.74939,                0.45423,                0.63995,                 0.3794,                 1.8889,                 2.4138,                 1.5347,               0.002674,               0.002674,               0.002674
                     76,                 1.0291,                0.68788,                0.96963,                 0.7504,                0.45384,                0.64008,                0.37954,                 1.8891,                 2.4163,                 1.5352,               0.002575,               0.002575,               0.002575
                     77,                 1.0252,                 0.6857,                0.96842,                0.75238,                0.45316,                0.64036,                0.37973,                 1.8892,                  2.419,                 1.5356,               0.002476,               0.002476,               0.002476
                     78,                 1.0221,                0.68135,                 0.9665,                 0.7557,                0.45234,                0.64098,                0.38022,                 1.8897,                 2.4246,                 1.5361,               0.002377,               0.002377,               0.002377
                     79,                  1.028,                0.68276,                 0.9688,                0.75641,                0.45206,                0.64104,                0.38024,                 1.8895,                 2.4263,                 1.5356,               0.002278,               0.002278,               0.002278
                     80,                 1.0244,                0.68484,                0.96845,                0.75526,                0.45153,                0.64036,                0.37992,                 1.8901,                 2.4277,                 1.5361,               0.002179,               0.002179,               0.002179
                     81,                 1.0232,                0.68131,                0.96833,                0.75463,                0.45109,                0.63992,                0.37956,                 1.8906,                 2.4298,                 1.5365,                0.00208,                0.00208,                0.00208
                     82,                 1.0114,                0.67564,                0.96358,                0.75359,                 0.4508,                0.63933,                0.37926,                 1.8913,                 2.4305,                  1.537,               0.001981,               0.001981,               0.001981
                     83,                 1.0221,                0.68215,                0.96818,                0.75378,                0.45077,                0.63932,                0.37914,                 1.8916,                  2.432,                 1.5374,               0.001882,               0.001882,               0.001882
                     84,                  1.018,                0.67654,                0.96506,                0.75569,                0.44998,                0.63956,                0.37946,                 1.8915,                 2.4365,                 1.5376,               0.001783,               0.001783,               0.001783
                     85,                 1.0138,                0.67575,                0.96558,                0.75604,                0.44969,                0.63945,                0.37951,                 1.8915,                 2.4389,                 1.5375,               0.001684,               0.001684,               0.001684
                     86,                 1.0158,                0.67488,                0.96474,                 0.7561,                0.44923,                0.63916,                0.37927,                 1.8918,                 2.4422,                 1.5376,               0.001585,               0.001585,               0.001585
                     87,                 1.0065,                0.66949,                0.96263,                0.75565,                0.44896,                0.63885,                0.37908,                 1.8922,                 2.4449,                 1.5377,               0.001486,               0.001486,               0.001486
                     88,                 1.0074,                0.67134,                0.96265,                0.75488,                0.44876,                0.63846,                0.37884,                 1.8924,                 2.4459,                 1.5379,               0.001387,               0.001387,               0.001387
                     89,                 1.0025,                 0.6664,                0.96162,                0.75495,                0.44817,                0.63824,                0.37882,                 1.8927,                 2.4487,                 1.5382,               0.001288,               0.001288,               0.001288
                     90,                0.93283,                0.59757,                0.93616,                0.75601,                0.44777,                0.63831,                0.37885,                 1.8931,                 2.4516,                 1.5386,               0.001189,               0.001189,               0.001189
                     91,                0.92326,                0.59265,                0.93268,                0.75767,                 0.4471,                0.63841,                  0.379,                 1.8934,                 2.4558,                 1.5387,                0.00109,                0.00109,                0.00109
                     92,                0.91706,                0.58768,                0.92916,                0.76067,                0.44637,                  0.639,                0.37947,                 1.8938,                 2.4609,                  1.539,               0.000991,               0.000991,               0.000991
                     93,                0.91856,                0.58746,                0.93016,                0.76309,                0.44553,                0.63933,                0.37983,                 1.8938,                 2.4653,                 1.5389,               0.000892,               0.000892,               0.000892
                     94,                0.91109,                0.58035,                0.92779,                0.76572,                 0.4447,                0.63973,                0.38015,                 1.8938,                 2.4698,                  1.539,               0.000793,               0.000793,               0.000793
                     95,                0.90623,                0.57998,                0.92765,                0.76834,                0.44385,                0.64018,                0.38061,                 1.8936,                 2.4748,                 1.5387,               0.000694,               0.000694,               0.000694
